OPEN_TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,CLOSE_TIME,QUOTE_VOL,NUM_TRADES,TAKE_BASE_VOL,TAKE_QUOTE_VOL,EXTRA
1532491200000,0.00000300,0.00000300,0.00000242,0.00000258,445438388.00000000,1532505599999,1159.77789910,13635,238058753.00000000,623.39844208,0
1532505600000,0.00000258,0.00000267,0.00000248,0.00000258,171981403.00000000,1532519999999,443.43578800,10692,79820490.00000000,206.83332738,0
1532520000000,0.00000257,0.00000264,0.00000254,0.00000257,55078481.00000000,1532534399999,142.64369172,4427,25519833.00000000,66.25301343,0
1532534400000,0.00000257,0.00000261,0.00000255,0.00000259,62310954.00000000,1532548799999,161.08668591,4041,27844669.00000000,72.07974703,0
1532548800000,0.00000259,0.00000260,0.00000255,0.00000258,50559063.00000000,1532563199999,130.09312424,3733,25274945.00000000,65.13863954,0
1532563200000,0.00000260,0.00000286,0.00000257,0.00000279,123176317.00000000,1532577599999,333.78129796,7095,73786897.00000000,200.23511274,0
1532577600000,0.00000278,0.00000284,0.00000265,0.00000270,135345656.00000000,1532591999999,369.72582802,6774,63832674.00000000,174.38102196,0
1532592000000,0.00000269,0.00000316,0.00000266,0.00000312,549123018.00000000,1532606399999,1616.72743981,19030,311310965.00000000,916.53644091,0
1532606400000,0.00000312,0.00000333,0.00000305,0.00000315,885963985.00000000,1532620799999,2819.94183614,30445,427963441.00000000,1363.42924075,0
1532620800000,0.00000315,0.00000329,0.00000313,0.00000325,298547104.00000000,1532635199999,960.42715427,14802,164608724.00000000,530.32896953,0
1532635200000,0.00000325,0.00000337,0.00000301,0.00000315,518589137.00000000,1532649599999,1652.87302523,21951,240692571.00000000,770.56174605,0
1532649600000,0.00000315,0.00000325,0.00000310,0.00000318,143236997.00000000,1532663999999,453.97401633,7942,70823616.00000000,224.98127873,0
1532664000000,0.00000317,0.00000323,0.00000304,0.00000313,164416823.00000000,1532678399999,517.84648560,10518,71649656.00000000,226.52606414,0
1532678400000,0.00000314,0.00000317,0.00000297,0.00000298,168838278.00000000,1532692799999,517.36782401,8976,58135775.00000000,178.82466385,0
1532692800000,0.00000298,0.00000313,0.00000292,0.00000308,227045409.00000000,1532707199999,684.04675365,11182,129131273.00000000,389.96667838,0
1532707200000,0.00000309,0.00000316,0.00000308,0.00000309,94725360.00000000,1532721599999,294.88985549,5066,42448017.00000000,132.40635043,0
1532721600000,0.00000310,0.00000315,0.00000305,0.00000307,62841255.00000000,1532735999999,195.12297976,3709,28227920.00000000,87.96884209,0
1532736000000,0.00000308,0.00000311,0.00000303,0.00000306,55183987.00000000,1532750399999,169.67802802,3162,25902553.00000000,79.80295770,0
1532750400000,0.00000307,0.00000311,0.00000305,0.00000309,36176438.00000000,1532764799999,111.38831407,2236,20448486.00000000,63.01441541,0
1532764800000,0.00000309,0.00000311,0.00000306,0.00000306,36313815.00000000,1532779199999,111.87385440,2461,15692509.00000000,48.38587445,0
1532779200000,0.00000307,0.00000314,0.00000306,0.00000310,61989122.00000000,1532793599999,192.73891102,3620,30665275.00000000,95.36908770,0
1532793600000,0.00000310,0.00000311,0.00000308,0.00000309,25827042.00000000,1532807999999,79.91255983,1999,10528800.00000000,32.62055120,0
1532808000000,0.00000309,0.00000315,0.00000309,0.00000312,28687059.00000000,1532822399999,89.37872197,2758,15918647.00000000,49.67009615,0
1532822400000,0.00000312,0.00000325,0.00000312,0.00000321,104881859.00000000,1532836799999,335.17420872,4618,64578117.00000000,206.35131770,0
1532836800000,0.00000321,0.00000323,0.00000315,0.00000319,36537186.00000000,1532851199999,116.35726936,2869,16761365.00000000,53.46692037,0
1532851200000,0.00000319,0.00000327,0.00000318,0.00000321,88062988.00000000,1532865599999,283.78711039,4484,40828859.00000000,131.95961930,0
1532865600000,0.00000321,0.00000325,0.00000315,0.00000322,57299366.00000000,1532879999999,183.77619110,3624,28172883.00000000,90.57007872,0
1532880000000,0.00000323,0.00000325,0.00000320,0.00000322,46070912.00000000,1532894399999,148.78725390,3088,20580873.00000000,66.57896971,0
1532894400000,0.00000323,0.00000323,0.00000319,0.00000322,39702266.00000000,1532908799999,127.59293042,2434,17101786.00000000,55.04112124,0
1532908800000,0.00000323,0.00000323,0.00000317,0.00000320,39532506.00000000,1532923199999,126.36396959,2669,16314872.00000000,52.25699819,0
1532923200000,0.00000320,0.00000321,0.00000308,0.00000311,72245296.00000000,1532937599999,227.13751473,4811,22506346.00000000,70.86900850,0
1532937600000,0.00000312,0.00000314,0.00000304,0.00000308,65539402.00000000,1532951999999,201.86635665,3757,23261141.00000000,71.73086083,0
1532952000000,0.00000307,0.00000312,0.00000298,0.00000308,87885475.00000000,1532966399999,267.48849593,4838,44836216.00000000,136.68766152,0
1532966400000,0.00000308,0.00000309,0.00000294,0.00000308,101433820.00000000,1532980799999,305.79003811,6064,41547157.00000000,125.59671900,0
1532980800000,0.00000307,0.00000317,0.00000302,0.00000309,68109454.00000000,1532995199999,211.13557887,5969,35633352.00000000,110.76432803,0
1532995200000,0.00000308,0.00000312,0.00000305,0.00000308,40435969.00000000,1533009599999,124.46517037,3398,15572866.00000000,48.04814574,0
1533009600000,0.00000308,0.00000311,0.00000303,0.00000305,55918167.00000000,1533023999999,171.01809286,3653,23797599.00000000,73.06699529,0
